coin,Type,Network,Snapshot Height,address,amount,message,signature1,signature2,redeem script/ public key,EOA1,EOA2
BTC,Non Staking,BTC,961893,1Lj2mCPJYbbC2X6oYwV6sXnE8CZ4heK5UD,6000.00012085,I am an OKX address,H3kd/pjPooxsO/PqCjwrwpZwNL+z60mhX2JuSuWilT/SInjM2dcBXK+vxO2eInc560HRp+zBCUXSWXDBj99Enxc=,H5PEB4/dXOxDDpzwbk0k3xjkxAeEPtnoFlzkDMiNPyApXbdkQWbzHiH/k5qn2JOuSfBGEo1s+b72iZayd/VzPe0=,,,
BTC,Non Staking,BTC,961893,1LnoZawVFFQihU8d8ntxLMpYheZUfyeVAK,5000.00135020,I am an OKX address,IBUhkyQBj9/LQuaGjZJ08ZTkQuJmWAmZYDUVCgsOth2KXUmzrPgFmfbSqK/WPblvm6TR+fkITjyPJccvoO8iuzE=,H5PEB4/dXOxDDpzwbk0k3xjkxAeEPtnoFlzkDMiNPyApXbdkQWbzHiH/k5qn2JOuSfBGEo1s+b72iZayd/VzPe0=,,,
BTC,Non Staking,BTC,961893,1M6E6vPaYsuCb34mDNS2aepu2aJyL6xBG4,3000.00009848,I am an OKX address,IAmwLj2Kd95ULyXrcAb/WhkZUZBW4oBL2BcV892L09cJRICdO9pWROdfO1NR2OiDEkGDNV7UKL+0l3pa0038qd4=,H5PEB4/dXOxDDpzwbk0k3xjkxAeEPtnoFlzkDMiNPyApXbdkQWbzHiH/k5qn2JOuSfBGEo1s+b72iZayd/VzPe0=,,,
BTC,Non Staking,BTC,961893,31iDSUzgPadZaJdxYPgHCg8SQ7AUfZGZCR,2.88829240,I am an OKX address,INLrnF7PheOAvd4eZIntejEmpWnTOA6vmhQQnaQSZDjTECKbHZV4bdEnyjXNk3x8DXtcZYIw5Pn+di2BBLE4PvY=,H7M6khd+lHxSZ3IRESGLtDOC7SMy8oOv1QWiX8pg+fH7NrVZiRIC1UrC8NzswahvQdSNb/ze64ZRBjM1sy2eEU4=,522103a5be0895cb4e51dda8191b3049f109fab2d456d5d9b1d516728cbfe5766ea679210387210772a379a30256fd7b345c96838a916b95aa6a00ba87a4c3b86da80ddf462103b4852b3d53b332b6b1ab6c3ba6313531c4d6a11f545503956bc79c2b680b1a3453ae,,
BTC,Non Staking,BTC,961893,31iVCRXshWfPw3pgNpdX6MZHexzTdxVL5J,0.02677347,I am an OKX address,H2YpOm6VUHXLsgb9GpLDyfNeYuUTgkOubbCohGI23zflQt/yzfcq1NDUj9ECxj8pjU8eUL+2BV/JgHH6c/wlTuk=,IP2ZK+/q+CiYfYddmaL9uaKMpXZvKY2zC3yjpeIr9KhbNapiO2oc+fuxlMq/NGO1xB4OX0iyOpdAP0FxT6LPceU=,522102b3b4c3f8ddedb65cc4ea5b9349b572c04159fe44384890e4806e898902692405210310b0f4a6e735fde7d36f46db4a6aa989bd0da101c9d4f162b10c8a5757363ae4210237c60cf76fede91f074904984c233b9c5cf85ceecd305282cf59bf6168fcbebe53ae,,
BTC,Non Staking,BTC,961893,31jD692dDHUuqjxSThEaN7gYGpMi6u941U,0.02067472,I am an OKX address,ILCaOyIe0E7XvgUvy4/G1IVoH8ylsa15YOGca844wRCzFScbwavwyhN9U2SNyWovn4KXZRdm0IoZ5R8HMseNFVY=,II1SW1fV5yq+lMJ/87YtpnA+rts37pOukDHriAXo+cwkL+N6xepR5+MZM3ZO9yvHE1nx7Oantlzw6cbJc72YqkY=,52210386e9ac94e5c16bfc9c18be14d6aee98d01a552f4037161eda9a725be354bac2a21030bafcab5f6b4b1cc3ae2963841aa900ec9e18d86cdd474db8a28eef039a38a6e21038daf80517bc9fac44347f4ef3189042345afe5e48f5bc23e963744f86b77056353ae,,
BTC,Non Staking,BTC,961893,31jgcXkERNoKviyPajZGMYr6vVhHSsjgj6,0.03282726,I am an OKX address,H2F+hxLv0E3aaf2hPoVFYXXBAgB6piLKfy9x8UtV7QU+Pe1QKvXZvLW/y7aBtwFa74EGFgx71qWXmy5bPP3PYcE=,H8IWeuHNX8lF9EPHGStpOovYishEYPEEXSUgkjNvGdrbPQ/YR1OdQXAozRej9AZgO9FxR7aLiA7YZc++6Uw7/Bk=,52210260faf8eb2fe467f731b213cd68940f8b28441b49dab3261752e661d5713d5a53210364285bd0cb3e757e4725837d80f1151f8121dcc9b2fd857d035c22ba9ce6bb12210258704216239360845dd2fa8de7040dd72cecf4ee90d447a3eaec135a9a4eeacc53ae,,
BTC,Non Staking,BTC,961893,31kJWLAxWLKy1psA2U89BKFvZDS2ka7VmS,0.03391217,I am an OKX address,IHC00DoQhVTKFXvAUUHQpn7NLcMzrqCnHzAbSoDyVhTeVqIbMWXn9Go2zHkFjqixpv4FAXv1Are/aQr2e+POiOc=,IHbJ4savCeWKCQs2867wlpJYUgenB4vfSDoNbVoFAk8rIgX9T+/bbpZyZo8KJGdRlE6+pP2FE3yepz1GeYGFI5s=,522103c28a5bf6663551f121592032fd96e1834ef586b43af87214796841cad3d77c5d210313302b25e2e19bc18fb69b1fa017e2af5b261d95b392f93c4af7e672587c887721021c82b90d1544ac916ad96c526456a15bc39dd53186e460a5dcf6ff37db46a46453ae,,
BTC,Non Staking,BTC,961893,31mX3VEXdfV4hewd2xVqm7Yv2jNo1p1A8Q,0.04682605,I am an OKX address,IMsNN4bFP49xhxuXm0JNHkvhIbVM9+24L8hXKBC8kPTSCwZv6VE88nn3ZTWBQJyoXhTOIEsM4QcrFmOVHxEpKPQ=,IMXatWvzOkTcuhTwuwZcCzTakguzH3WvS/A4hcPfIdfDDAZj44C/fBhPCzZEEfifu9eqLJau/wBVtr+qSz5QdVw=,522103d808bf12a74233a9e9905f3570cbdb39a95201ca10ec9001a5e0c4c06945aeae21024aeba056e969e0d0fcd13dceff40f72311d0cd0d59b02660273644b93d41bc5f21031255e550e0e043968ae9565ccf6ac4bc7dd3b74adcef63485c21b9974e45171d53ae,,
BTC,Non Staking,BTC,961893,31oZbHCtELD6tqNoL4R6GWHo2xCqZXQxN6,0.02899909,I am an OKX address,H1w4P5kHNvmqTTNTAL32Dp5bUR4A0UQZVz20noIGjX9FEGxdjz4R0++1SY7WLYN3VluLnyaaLjUWQokptOypwRc=,ICWqBTUlfsZti+XKkN8MiXqsXoFvRFwPrmGDjuhSHzINF4qXTy7XFH0vv8DrlI85JeLlEDZv/dqCRJgr5FYyKmw=,5221037172caa6dea9e0189af1ffecd39b2a9bc0c01afe13ac2bb1ce4f7e4d42455d8f210384d37224319e5113cd6ef2bb466f9526f6393362c3bca38a46e55a02717d26432102831c7a1cafea362ae4382cb00aecb991fa1e132e2a69b568c1d56781ed994af153ae,,
BTC,Non Staking,BTC,961893,31p2YvMKzk2d4PVkuWeEXab4eWeB8vy7mZ,0.45354196,I am an OKX address,H9EOgBwkyk7IJW8grZA1mGwiVqUe/JXQ93CIUseR5oe7JIHFd3InraB04a8vx7oWsI7a4dn82zbVUT+qpf1cgTg=,H4wQa3hgKDoOkE1FOWKbuEnUyCL0jFCds5SopkktoFvDayazs+OBneYNNVg+SQE4LiLqLdt/cOeuLrWZBxm6O1Q=,5221023bf71bf192be1b3b2a84405331c534ae570190c7e9b5b5cd0a726ea61f7e294d2102fedf0b1cf0139815920c69723723b6d367da014b54fc4a802d7ce2fce7c0aeab2102789e0c9a043ff5782996c83cb154ceb9c3bd8fb3ba24082f9760b880c03f29e853ae,,
BTC,Non Staking,BTC,961893,31pnWzVDjoujWW7cBG24Mp3GJ6ahheoZAo,0.03149349,I am an OKX address,H4pB1hg9AZ1N69UO9kjupuaoR/Z64286VHCTGvwoYIztJCRhiF9TfqVZ3ZyB9ak5/0Z5hdkzS5KePomC5HUB0Gc=,IJD+hetYhpZEuv1KNtM6WQo9sA0Hm/fcYnAmyGujEUujNJZIH+vPIC6Dh2sPuWN2hljPwvFYADwM78nDlai+Zic=,522103be30901abb2f76224d8f761b10bd8b8051cfa6a782e1f49741422e957d37fa222102d8af8e90ddbca17e991b8771027197e84389273c518aceeafbf2b00d5b7f8ffd2102fb8b0a10874e655cd7855283a6ad7cd8a632658f179cabf04e8c130e6752f19953ae,,
